mx1,lam1,lam2,xs,xs_err
1.5,0.2,0.15,0.0038554611875249,4.699282402004972e-06
1.5,0.2,0.2,0.0062699255389961,7.623779610266702e-06
1.5,0.2,0.3,0.0110944097305999,1.361573298492851e-05
1.5,0.2,0.4,0.015460202197748,1.895775353920947e-05
1.5,0.2,0.5,0.0188755351744275,2.3152995400654556e-05
1.5,0.2,0.6,0.021400075875824,2.6315291938861724e-05
1.5,0.2,0.7,0.0235743645178099,2.891053369326124e-05
1.5,0.2,0.8,0.0251585695282922,3.0870572518399856e-05
1.5,0.2,0.9,0.0264332801964264,3.249300724353788e-05
1.5,0.2,1.0,0.0272998658412167,3.3714139802662e-05
1.5,0.2,2.0,0.0357888382391746,7.23516209826633e-05
1.5,0.3,0.04,0.0003099391008142,9.779893069422714e-07
1.5,0.3,0.06,0.0006813953727784,6.861434367247739e-07
1.5,0.3,0.08,0.0012048060066013,1.48367596890713e-06
1.5,0.3,0.1,0.0018661350582762,2.297413020340117e-06
1.5,0.3,0.15,0.0040972980471492,5.026733699692121e-06
1.5,0.3,0.2,0.0069451995234476,8.52886343167141e-06
1.5,0.3,0.3,0.0138662195906627,1.704824299178482e-05
1.5,0.3,0.4,0.0213257505979058,2.626930772668823e-05
1.5,0.3,0.5,0.0284283044639754,3.508690085149767e-05
1.5,0.3,0.6,0.035438008156665,4.337695387765773e-05
1.5,0.3,0.7,0.0406153493542751,4.998102407154626e-05
1.5,0.3,0.8,0.0454656133397061,5.595475814676989e-05
1.5,0.3,0.9,0.049655305117583,6.113080605928691e-05
1.5,0.3,1.0,0.0527799078927948,6.53222078611056e-05
1.5,0.3,2.0,0.0771759475594411,0.0001561134131299
1.5,0.4,0.04,0.0003162227739868,9.96430506272875e-07
1.5,0.4,0.06,0.0006931621906859,6.971207600658219e-07
1.5,0.4,0.08,0.0012395102180641,1.5186836393130725e-06
1.5,0.4,0.1,0.0019293508788802,2.3626675815135327e-06
1.5,0.4,0.15,0.0042183888057589,5.188807794403243e-06
1.5,0.4,0.2,0.0073298356832202,9.00818858179411e-06
1.5,0.4,0.3,0.0154125372136856,1.8937381935982595e-05
1.5,0.4,0.4,0.0247551578275127,3.0621029218113806e-05
1.5,0.4,0.5,0.035318872899529,4.346299385708375e-05
1.5,0.4,0.6,0.0456342756360561,5.6052040787379006e-05
1.5,0.4,0.7,0.0547934365380123,6.77227517824306e-05
1.5,0.4,0.8,0.0634577655847384,7.855694102384923e-05
1.5,0.4,0.9,0.0726663030487009,8.929903635297726e-05
1.5,0.4,1.0,0.0803087627899921,9.626508382406448e-05
1.5,0.4,2.0,0.1305708191364617,0.0002633003613548
1.5,0.5,0.04,0.0003179619549598,1.0059222110725746e-06
1.5,0.5,0.06,0.0007130747986818,7.140740291899647e-07
1.5,0.5,0.08,0.00124880453,9.75033609e-06
1.5,0.5,0.1,0.00196727439,1.52667115e-05
1.5,0.5,0.15,0.0043456515196882,5.3499385117489404e-06
1.5,0.5,0.2,0.0076549249488759,9.396788160020982e-06
1.5,0.5,0.3,0.0164280100422486,2.018714771604137e-05
1.5,0.5,0.4,0.0273395594453089,3.373964131896338e-05
1.5,0.5,0.5,0.0399330034,0.000311511115
1.5,0.5,0.6,0.053417725289873,6.571718320066793e-05
1.5,0.5,0.7,0.0666192243313854,8.214490188297854e-05
1.5,0.5,0.8,0.0799590969289468,9.842971616357086e-05
