sample, xsec [pb], xsec_err [pb]
Signal_2-0_0-1_0-6.0, 0.0014547421215817828, 1.8251536465065148e-06
Signal_1-5_1-0_0-8.0, 0.1306339498124068, 0.00016125890607452471
Signal_2-0_0-1_0-8.0, 0.0015359891946854127, 1.937160871932614e-06
Signal_2-0_0-1_0-9.0, 0.0015862441186721883, 1.9937777929330307e-06
Signal_2-0_0-1_0-2.0, 0.0008140689570349144, 1.0121574347851786e-06
Signal_1-5_0-5_0-4.0, 0.027339559445308997, 3.373964131896338e-05
Signal_1-5_0-5_0-6.0, 0.05341772528987303, 6.571718320066793e-05
Signal_1-5_0-4_0-6.0, 0.04563427563605613, 5.6052040787379006e-05
Signal_1-5_0-5_0-9.0, 0.09258149596279462, 0.00011403684331361026
Signal_1-5_0-6_0-08.0, 0.001284728663179363, 1.5862264021123718e-06
Signal_1-5_0-6_0-15.0, 0.004485615204664896, 5.5250634209962485e-06
Signal_1-5_0-6_0-1.0, 0.0020206511438037628, 2.4827736252518023e-06
Signal_1-5_0-4_0-8.0, 0.0634577655847384, 7.855694102384923e-05
Signal_1-5_0-6_0-3.0, 0.01722622333376474, 2.121314518459488e-05
Signal_1-5_0-6_0-4.0, 0.029448605603441202, 3.6227365432746926e-05
Signal_1-5_0-6_0-6.0, 0.05923166222788879, 7.31165102329183e-05
Signal_1-5_0-6_0-2.0, 0.007913660950161373, 9.737256701771464e-06
Signal_1-5_0-5_0-2.0, 0.0076549249488759375, 9.396788160020982e-06
Signal_1-5_0-6_0-5.0, 0.04351190714098529, 5.369037509058593e-05
Signal_1-5_0-6_0-8.0, 0.09300373015626531, 0.00011480320392931193
Signal_1-5_0-6_0-7.0, 0.07600547408510422, 9.370551520795205e-05
Signal_1-5_0-7_0-08.0, 0.0013312046407700582, 1.641259815287911e-06
Signal_1-5_0-7_0-15.0, 0.0046456445181241425, 5.728308014481674e-06
Signal_1-5_0-7_0-7.0, 0.08314392837056928, 0.00010342624695171673
Signal_1-5_0-6_0-9.0, 0.1099207284526055, 0.00013566892656851294
Signal_1-5_0-7_0-4.0, 0.03120109924027301, 3.8442867855118514e-05
Signal_1-5_0-7_0-1.0, 0.0020795022420042023, 2.563965988725362e-06
Signal_1-5_0-7_0-3.0, 0.018033472061285607, 2.2248594834736495e-05
Signal_1-5_0-7_0-5.0, 0.047135764381052936, 5.802028256028954e-05
Signal_1-5_0-8_0-4.0, 0.03264399357900586, 4.05752230029393e-05
Signal_1-5_0-7_1-0.0, 0.14598980444517246, 0.0001816492702392412
Signal_1-5_0-7_0-2.0, 0.008170120502472622, 1.0090285847035278e-05
Signal_1-5_0-7_0-6.0, 0.0648443604681104, 8.003867641946464e-05
Signal_1-5_0-6_1-0.0, 0.12609282852989276, 0.0001561724177288708
Signal_1-5_0-8_0-2.0, 0.008598688130528715, 1.0604288146359128e-05
Signal_1-5_0-7_0-8.0, 0.10544236205143989, 0.00012998476713332524
Signal_1-5_0-8_0-1.0, 0.0021697151031101545, 2.6756013753530292e-06
Signal_1-5_0-7_0-9.0, 0.12579611380403916, 0.0001556419616639126
Signal_1-5_0-8_0-3.0, 0.019046138684801366, 2.346376504259126e-05
Signal_2-0_0-08_0-3.0, 0.0008014527106188436, 1.00202276462462e-06
Signal_1-5_0-8_0-08.0, 0.0013877069173034746, 1.713400919086673e-06
Signal_2-0_0-08_0-15.0, 0.0004912819513800468, 6.090789306160795e-07
Signal_2-0_0-08_0-6.0, 0.0009601492100194411, 1.207475576528861e-06
Signal_2-0_0-08_0-4.0, 0.0008891526014233968, 1.1117799779076904e-06
Signal_1-5_0-8_0-15.0, 0.004841919598305757, 5.981141594752811e-06
Signal_2-0_0-15_0-3.0, 0.0017992826594591589, 2.2579332930054286e-06
Signal_2-0_0-08_0-8.0, 0.001004004684432155, 1.2655364255682112e-06
Signal_1-5_0-15_0-9.0, 0.015867778745264134, 1.9552237172308616e-05
Signal_1-5_0-1_0-15.0, 0.0028623260490014952, 3.4731702062145168e-06
Signal_1-5_0-1_0-6.0, 0.00693203574646744, 8.519680732325207e-06
Signal_1-5_0-15_1-0.0, 0.016421473031907552, 2.0188760408493e-05
Signal_1-5_0-1_0-2.0, 0.003945944851641258, 4.797161543302281e-06
Signal_1-5_0-1_0-9.0, 0.0074945753614830465, 9.203069704138083e-06
Signal_1-0_0-9_0-9.0, 0.9305294731184355, 0.0011047199474204707
Signal_1-5_0-2_0-2.0, 0.006269925538996183, 7.623779610266702e-06
Signal_1-5_0-1_0-4.0, 0.006262396101171585, 7.619746796336105e-06
Signal_1-5_0-2_0-4.0, 0.01546020219774808, 1.895775353920947e-05
Signal_1-5_0-2_0-08.0, 0.0012024278252422793, 1.4651676447153002e-06
Signal_1-5_0-1_0-7.0, 0.007162234934780844, 8.797567083908214e-06
Signal_1-5_0-2_0-15.0, 0.0038554611875249115, 4.699282402004972e-06
Signal_1-5_0-2_0-3.0, 0.01109440973059995, 1.361573298492851e-05
