stem,hepmc_file,hepmc_size_B,hepmc_size,mc_file,mc_size_B,mc_size,ratio(mc/hepmc),result,reason
zjets.7.58,zjets.7.58.hepmc.gz,3670685002,3.4 GB,zjets.7.58.root,3738276215,3.5 GB,1.0184,O,
zjets.7.59,zjets.7.59.hepmc.gz,3669397504,3.4 GB,zjets.7.59.root,3737781506,3.5 GB,1.0186,O,
zjets.7.6,zjets.7.6.hepmc.gz,3700053324,3.4 GB,zjets.7.6.root,3769376583,3.5 GB,1.0187,O,
zjets.7.60,zjets.7.60.hepmc.gz,3680174730,3.4 GB,zjets.7.60.root,3748362513,3.5 GB,1.0185,O,
zjets.7.61,zjets.7.61.hepmc.gz,3656922465,3.4 GB,zjets.7.61.root,3726902372,3.5 GB,1.0191,O,
zjets.7.62,zjets.7.62.hepmc.gz,3654217772,3.4 GB,zjets.7.62.root,3722282338,3.5 GB,1.0186,O,
zjets.7.63,zjets.7.63.hepmc.gz,3653218514,3.4 GB,zjets.7.63.root,3721842612,3.5 GB,1.0188,O,
zjets.7.64,zjets.7.64.hepmc.gz,3643187824,3.4 GB,zjets.7.64.root,3711344984,3.5 GB,1.0187,O,
zjets.7.65,zjets.7.65.hepmc.gz,3680455673,3.4 GB,zjets.7.65.root,3747751211,3.5 GB,1.0183,O,
zjets.7.66,zjets.7.66.hepmc.gz,3651537953,3.4 GB,zjets.7.66.root,3719410258,3.5 GB,1.0186,O,
zjets.7.67,zjets.7.67.hepmc.gz,3645290920,3.4 GB,zjets.7.67.root,3713563581,3.5 GB,1.0187,O,
zjets.7.68,zjets.7.68.hepmc.gz,3653522023,3.4 GB,zjets.7.68.root,3722192008,3.5 GB,1.0188,O,
zjets.7.69,zjets.7.69.hepmc.gz,3667040483,3.4 GB,zjets.7.69.root,3737037241,3.5 GB,1.0191,O,
zjets.7.7,zjets.7.7.hepmc.gz,3666781810,3.4 GB,zjets.7.7.root,3734873067,3.5 GB,1.0186,O,
zjets.7.70,zjets.7.70.hepmc.gz,3664141340,3.4 GB,zjets.7.70.root,3733407177,3.5 GB,1.0189,O,
zjets.7.71,zjets.7.71.hepmc.gz,3666556953,3.4 GB,zjets.7.71.root,3735508408,3.5 GB,1.0188,O,
zjets.7.72,zjets.7.72.hepmc.gz,3665842692,3.4 GB,zjets.7.72.root,3736165648,3.5 GB,1.0192,O,
zjets.7.73,zjets.7.73.hepmc.gz,3651936207,3.4 GB,zjets.7.73.root,3721543220,3.5 GB,1.0191,O,
zjets.7.74,zjets.7.74.hepmc.gz,3673767320,3.4 GB,zjets.7.74.root,3742720659,3.5 GB,1.0188,O,
zjets.7.75,zjets.7.75.hepmc.gz,3668495766,3.4 GB,zjets.7.75.root,3734955530,3.5 GB,1.0181,O,
zjets.7.76,zjets.7.76.hepmc.gz,3653202692,3.4 GB,zjets.7.76.root,3721865529,3.5 GB,1.0188,O,
zjets.7.77,zjets.7.77.hepmc.gz,3667656142,3.4 GB,zjets.7.77.root,3736464309,3.5 GB,1.0188,O,
zjets.7.78,zjets.7.78.hepmc.gz,3653065904,3.4 GB,zjets.7.78.root,3721505394,3.5 GB,1.0187,O,
zjets.7.79,zjets.7.79.hepmc.gz,3656314788,3.4 GB,zjets.7.79.root,3727293744,3.5 GB,1.0194,O,
zjets.7.8,zjets.7.8.hepmc.gz,3672510558,3.4 GB,zjets.7.8.root,3744006932,3.5 GB,1.0195,O,
zjets.7.80,zjets.7.80.hepmc.gz,3670201481,3.4 GB,zjets.7.80.root,3738339391,3.5 GB,1.0186,O,
zjets.7.81,zjets.7.81.hepmc.gz,3689631782,3.4 GB,zjets.7.81.root,3758697857,3.5 GB,1.0187,O,
zjets.7.82,zjets.7.82.hepmc.gz,3687906744,3.4 GB,zjets.7.82.root,3759179022,3.5 GB,1.0193,O,
